,,,,,,,,,,,,,,,,
,,,,,,, SE LLENA AUTOMATICAMENTE,,,,,,,,,
CODIGO MARCA,CODIGO REFERENCIA ,CODIGO OEM ,MARCA AUTOMOVIL,MODELO,CATEGORIA ,SUBCATEGORIA,DESCRIPCION ,AÑO ,MOTOR,MARCA PRODUCTO,ORIGEN,MEDIDA ,DIAMETRO,TIPO,VARIABLE,STOCK
35912,,13011-64210,TOYOTA,CARINA-EMINA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 2C-3C-T  0.25 86mm,,2C-3C-T,TP,JAPAN,0.25,86mm,,2*2*3,1
35958,,13011-28010,TOYOTA,COROLLA-CARINA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 3T  0.5 85mm,,3T,TP,JAPAN,0.50,85mm,,1.5*1.5*4,1
35892,,13011-54120,TOYOTA,HI-LUX-LAND CRUISER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 3L  0.5 96mm,,3L,TP,JAPAN,0.50,96mm,,2*2*4,2
35892,,13011-54120,TOYOTA,HI-LUX-LAND CRUISER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 3L  STD 96mm,,3L,TP,JAPAN,STD,96mm,,2*2*4,3
35929,,13011-54130,TOYOTA,HI ACE VAN- HI-LUX,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 5L  STD 99.5mm,,5L,TP,JAPAN,STD,99.5mm,,2*1.5*4,5
35929,,13011-54130,TOYOTA,HI ACE VAN- HI-LUX,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 5L  0.25 99.5mm,,5L,TP,JAPAN,0.25,99.5mm,,2*1.5*4,2
35986,,13011-30030,TOYOTA,HI-LUX ,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 2KD  STD 92mm,,2KD,TP,JAPAN,STD,92mm,,2*1.5*3,2
35986,,13011-30030,TOYOTA,HI-LUX ,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 2KD  0.25 92mm,,2KD,TP,JAPAN,0.25,92mm,,2*1.5*3,1
35854,,13011-15010,TOYOTA,COROLLA-CORONA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 1A-3A  STD 77.5mm,,1A-3A,TP,JAPAN,STD,77.5mm,,1.5*1.5*2.8,1
35854,,13011-15010,TOYOTA,COROLLA-CORONA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 1A-3A  STD 77.5mm,,1A-3A,TP,JAPAN,STD,77.5mm,,1.5*1.5*2.8,1
35854,,13011-15010,TOYOTA,COROLLA-CORONA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 1A-3A  0.5 77.5mm,,1A-3A,TP,JAPAN,0.50,77.5mm,,1.5*1.5*2.8,1
35854,,13011-15010,TOYOTA,COROLLA-CORONA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 1A-3A  0.75 77.5mm,,1A-3A,TP,JAPAN,0.75,77.5mm,,1.5*1.5*2.8,1
35894,,13011-15050,TOYOTA,COROLLA-SPRINTER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 5A  0.25 78.7mm,,5A,TP,JAPAN,0.25,78.7mm,,1.5*1.5*3,1
35913,,13011-16280,TOYOTA,COROLLA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR TOYOTA 4AFE  0.5 81mm,,4AFE,TP,JAPAN,0.50,81mm,,1.2*1.5*3,1
42001,,23040-42200,HYUNDAI,CANTER-ROSA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR HYUNDAI D4BA  STD 91.1mm,,D4BA,TP,JAPAN,STD,91.1mm,,2*2*3,1
33950,,ME997240,MITSUBISHI,CANTER-ROSA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR MITSUBISHI 4D34  STD 104mm,,4D34,TP,JAPAN,STD,104mm,,2.81*2*4,1
33950,,ME997240,MITSUBISHI,CANTER-ROSA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR MITSUBISHI 4D34  STD 104mm,,4D34,TP,JAPAN,STD,104mm,,2.81*2*4,1
33923,,ME996378,MITSUBISHI,CANTER-FUSO TRUCK,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR MITSUBISHI 4D33A  STD 108mm,,4D33A,TP,JAPAN,STD,108mm,,3*2*4,2
33959,,ME996628,MITSUBISHI,ROSA-CANTER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR MITSUBISHI 4D35  STD 110mm,,4D35,TP,JAPAN,STD,110mm,,3*2.5*4,1
34137,,12033-0W813,NISSAN,CARAVAN ,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN ZD30T  STD 96mm,,ZD30T,TP,JAPAN,STD,96mm,,2.5*2*3,1
34092,,12033-37N10,NISSAN,DATSUN -JEEP,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN TD27T  STD 96mm,,TD27T,TP,JAPAN,STD,96mm,,2.5*2*4,1
34136,,12033-1W411,NISSAN,PICK UP,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN QD32  STD 99.2mm,,QD32,TP,JAPAN,STD,99.2mm,,2.5*2*3,1
34084,,12033-53Y00,NISSAN,ADVAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  0.25 73.6mm,,GA15,TP,JAPAN,0.25,73.6mm,,1.5*1.5*2.8,2
34084,,12033-53Y00,NISSAN,ADVAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  STD 73.6mm,,GA15,TP,JAPAN,STD,73.6mm,,1.5*1.5*2.8,1
34084,,12033-53Y00,NISSAN,ADVAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  0.75 73.6mm,,GA15,TP,JAPAN,0.75,73.6mm,,1.5*1.5*2.8,1
34082,,12033-57Y00,NISSAN,SUNNY-PULSER,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA16  STD 76mm,,GA16,TP,JAPAN,STD,76mm,,1.5*1.5*2.8,1
34084,,12033-53Y00,NISSAN,ADVAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  0.25 73.6mm,,GA15,TP,JAPAN,0.25,73.6mm,,1.5*1.5*2.8,2
34084,,12033-53Y00,NISSAN,ADVAN-R-VY10,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN GA15  0.5 73.6mm,,GA15,TP,JAPAN,0.50,73.6mm,,1.5*1.5*2.8,2
34063,,12033-01E00,NISSAN,BLUEBIRD-STANZA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN CA18  0.25 83mm,,CA18,TP,JAPAN,0.25,83mm,,1.5*1.5*4,1
34063,,12033-01E00,NISSAN,BLUEBIRD-STANZA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN CA18  0.5 83mm,,CA18,TP,JAPAN,0.50,83mm,,1.5*1.5*4,1
34063,,12033-01E00,NISSAN,BLUEBIRD-STANZA,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN CA18  0.5 83mm,,CA18,TP,JAPAN,0.50,83mm,,1.5*1.5*4,1
34031,,12033-01W60,NISSAN,CARAVAN-PICKUP,MOTOR,ANILLOS DE MOTOR,ANILLOS DE MOTOR NISSAN J15  STD 77.95mm,,J15,TP,JAPAN,STD,77.95mm,,2*2*4,1
